date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:56	69/69	---MCZ	200	added ('OK')	text/plain	date:Wed,%2013%20Nov%202019%2011:44:56%20GMT	http://www.dd-partners.it/robots.txt		(from )
12:44:56	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2013%20Nov%202019%2011:44:56%20GMT	http://www.dd-partners.it/	D:/httrack/downloaded/DD/www.dd-partners.it/index.html	(from )
12:44:58	13761/13761	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202019%2011:44:57%20GMT	http://www.dd-partners.it/en/	D:/httrack/downloaded/DD/www.dd-partners.it/en/index.html	(from http://www.dd-partners.it/)
12:44:58	104459/104459	---M-Z	200	added ('OK')	text/css	etag:%221980b-545e61626f600-gzip%22	http://www.dd-partners.it/wp-content/cache/autoptimize/css/autoptimize_cbe94abe76cbf9653021e485cf44804e.css	D:/httrack/downloaded/DD/www.dd-partners.it/wp-content/cache/autoptimize/css/autoptimize_cbe94abe76cbf9653021e485cf44804e.css	(from http://www.dd-partners.it/en/)
12:45:00	856/856	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%228149c12ac73966f9a889eae0c64736d1%22	http://www.dd-partners.it/en/feed/	D:/httrack/downloaded/DD/www.dd-partners.it/en/feed/index.html	(from http://www.dd-partners.it/en/)
12:45:00	842/842	---MC-	200	added ('OK')	text/xml	date:Wed,%2013%20Nov%202019%2011:44:59%20GMT	http://www.dd-partners.it/xmlrpc.php?rsd	D:/httrack/downloaded/DD/www.dd-partners.it/xmlrpc0db0.php	(from http://www.dd-partners.it/en/)
12:45:00	96874/96874	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217a6a-591c4670bd700%22	http://www.dd-partners.it/wp-includes/js/jquery/jquery.js?ver=1.12.4	D:/httrack/downloaded/DD/www.dd-partners.it/wp-includes/js/jquery/jqueryb8ff.js	(from http://www.dd-partners.it/en/)
12:45:00	747/747	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2274b31b61efc4aa230cdf41c446a24164%22	http://www.dd-partners.it/en/comments/feed/	D:/httrack/downloaded/DD/www.dd-partners.it/en/comments/feed/index.html	(from http://www.dd-partners.it/en/)
12:45:00	1045/1045	---MCZ	200	added ('OK')	application/xml	etag:W/%22415-53fb1cc9a9f80%22	http://www.dd-partners.it/wp-includes/wlwmanifest.xml	D:/httrack/downloaded/DD/www.dd-partners.it/wp-includes/wlwmanifest.xml	(from http://www.dd-partners.it/en/)
12:45:01	51777/51777	---MCZ	200	added ('OK')	application/json	date:Wed,%2013%20Nov%202019%2011:45:01%20GMT	http://www.dd-partners.it/wp-json/	D:/httrack/downloaded/DD/www.dd-partners.it/wp-json/index.html	(from http://www.dd-partners.it/en/)
